t,a
"M. Rostovtzeff, La Peinture Décorative Antique en Russie Méridionale : Saint-Pétersbourg 1913-1914. Paris : Boccard, 2004. 2877541142","Moormann, Eric M."
Le proverbe en Russie (XVIIIe siècle) : espace discursif et enjeu idéologique,"Viellard, Stéphane"
Le proverbe en Russie (XVIIIe siècle) : espace discursif et enjeu idéologique,"Stéphane, Viellard"
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"Scherrer, Jutta"
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"SCHERRER, Jutta"
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"SCHERRER, U."
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"Scherrer., Jutta"
La stratégie d’influence informationnelle et numérique de la Russie en Europe,"Audinet, Maxime"
"Le catholicisme en Russie / par I. L. Gondal,...","Gondal, Ignace Louis (1854-1920)"
Les exemples de la Russie et de la Rome Antique,"Grou, Pierre"
La Russie en quête d'une histoire nationale,"Koustova, Emilia"
"La Russie et l'équilibre européen (2e édition, augmentée d'une préface de l'auteur et de notes) / par un homme d'État [Hermann Ewerbeck]","Ewerbeck, Hermann"
"Le développement pris en otage, comment l'aide américaine à la Russie a été détournée par les « transacteurs »","Wedel, Janine R."
À l’ombre des cerisiers en fleurs. La réception du haïku en Russie post-soviétique,"Rousselet, Cécile"
Les catholiques russes et les pro-catholiques en Russie dans la première moitié du XIXe siècle,"Tatsis-Botton, Anne-Marie"
La Russie et I'OTAN : de l'acte fondateur à la déclaration de Rome : sur une «qualité nouvelle» de relations (1997-2002),"Goutman, Nadejda"
"De Michelis Césare G., la Giudeofobia in Russia : dal Libro del «kahal» ai Protocolli dei savi di Sion (la Judéophobie en Russie : du Livre du « kahal » aux Protocoles des sages de Sion)","Luba, Jurgenson"
L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937),"Poisson, Philippe"
L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937),"POISSON-QUINTON, Philippe"
L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937),"Poisson, Philippe (1682-1743)"
Union Européenne-Russie : des politiques de voisinage de l'énergie,"Vercueil, Julien"
Union Européenne-Russie : des politiques de voisinage de l'énergie,"VERCUEIL, JULIEN"
Annonce de la séance du 8 décembre 2016 : Russie Chine en perspective,"Vercueil, Julien"
Annonce de la séance du 8 décembre 2016 : Russie Chine en perspective,"VERCUEIL, JULIEN"
"Appel à Communications : ""L'avenir des relations de l'Europe et de la Russie après la crise"", 6 mai 2015","Vercueil, Julien"
"Appel à Communications : ""L'avenir des relations de l'Europe et de la Russie après la crise"", 6 mai 2015","VERCUEIL, JULIEN"
La Russie et l'Union Européenne : l'économie peut-elle venir au secours de la diplomatie ?,"Vercueil, Julien"
La Russie et l'Union Européenne : l'économie peut-elle venir au secours de la diplomatie ?,"VERCUEIL, JULIEN"
"Les pays émergents. Brésil - Russie - Inde - Chine... Mutations économiques, crises et nouveaux défis","Vercueil, Julien"
"Les pays émergents. Brésil - Russie - Inde - Chine... Mutations économiques, crises et nouveaux défis","VERCUEIL, JULIEN"
Le point sur l'économie de la Russie (octobre 2012),"Sapir, Jacques"
Le point sur l'économie de la Russie (octobre 2012),"SAPIR, Jacques"
Le point sur l'économie de la Russie (octobre 2012),"Sapir, jacques"
La Russie et la nécessité d’une nouvelle politique économique (Séminaire Franco-Russe),"Sapir, Jacques"
La Russie et la nécessité d’une nouvelle politique économique (Séminaire Franco-Russe),"SAPIR, Jacques"
La Russie et la nécessité d’une nouvelle politique économique (Séminaire Franco-Russe),"Sapir, jacques"
La Russie à la croisée des chemins,"Sapir, Jacques"
La Russie à la croisée des chemins,"SAPIR, Jacques"
La Russie à la croisée des chemins,"Sapir, jacques"
La Russie à la croisée de chemins,"Sapir, Jacques"
La Russie à la croisée de chemins,"SAPIR, Jacques"
La Russie à la croisée de chemins,"Sapir, jacques"
La Russie sort de la crise,"Sapir, Jacques"
La Russie sort de la crise,"SAPIR, Jacques"
La Russie sort de la crise,"Sapir, jacques"
V. Ivanter et la situation de la Russie à l'été 2016,"Sapir, Jacques"
V. Ivanter et la situation de la Russie à l'été 2016,"SAPIR, Jacques"
V. Ivanter et la situation de la Russie à l'été 2016,"Sapir, jacques"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Lefèvre, Cécile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Lefevre, Cécile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Cécile, Douxchamps-Lefevre"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Douxchamps-Lefevre, Cécile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","LEFEVRE, Cecile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Cécile, Douxchamps-Lefèvre"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Lefevre, Cecile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Douxchamps-Lefèvre, C."
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Douxchamps-Lefèvre, Cécile"
"Dorena Caroli, L'enfance abandonnée et délinquante dans la Russie soviétique (1917-1937)","Douxchamps-Léfèvre, Cécile"
La Russie de Vladimir Fédorovski : Survol et diplomatie ou synthèse critique?,"Laplante, Laurent"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Desroche, H."
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Henri, Desroches"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Henri, Desroche"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Desroche, Henri"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Desroche., Henri"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"., Henri Desroche"
Prudence et Courage. La situation religieuse en Russie et en Europe de l'Est,"Desroches, Charles"
"Marie Jean- Jacques, l'Antisémitisme en Russie de Catherine II à Poutine, 2009","Czerny, Boris"
"Marie Jean- Jacques, l'Antisémitisme en Russie de Catherine II à Poutine, 2009","Boris, Czerny"
"David Teurtrie, Géopolitique de la Russie : intégration régionale, enjeux énergétiques, influence culturelle (collection « Pays de l'Est »), 2010","Czerny, Boris"
"David Teurtrie, Géopolitique de la Russie : intégration régionale, enjeux énergétiques, influence culturelle (collection « Pays de l'Est »), 2010","Boris, Czerny"
"Sociétés, État, populations en Russie et en URSS","Czerny, Boris"
"Sociétés, État, populations en Russie et en URSS","Boris, Czerny"
Comment la Russie a pensé au Peuple,"Besançon, Alain"
Comment la Russie a pensé au Peuple,"Alain, Besançon"
Comment la Russie a pensé au Peuple,"Besançon, Alain (1932-....)"
Comment la Russie a pensé au Peuple,"Besancon, Alain"
La Russie comme elle est,"Besançon, Alain"
La Russie comme elle est,"Alain, Besançon"
La Russie comme elle est,"Besançon, Alain (1932-....)"
La Russie comme elle est,"Besancon, Alain"
"Jean-Robert Raviot, Qui dirige la Russie ?","Merlin, Aude"
"Jean-Robert Raviot, Qui dirige la Russie ?","Aude, Merlin"
"Jean-Robert Raviot, Qui dirige la Russie ?","MERLIN, Aude"
La Russie rouge : roman contemporain / par Victor Tissot et Constant Améro,"Améro, Constant (1832-1908)"
La Russie rouge : roman contemporain / par Victor Tissot et Constant Améro,"Améro, Constant"
La Russie rouge : roman contemporain / par Victor Tissot et Constant Améro,"Arnauld, Daniel"
Russie : les paradoxes de la violence (Partie 1),"Le Huérou, Anne"
Russie : les paradoxes de la violence (Partie 1),"Huérou, Anne Le"
Russie : les paradoxes de la violence (Partie 1),"LE HUEROU, Anne"
Russie : les paradoxes de la violence (Partie 1),"Le Huerou, Anne"
"Pauvreté, pénurie et transition en Russie : de l'économie soviétique à l'économie de marché.","Bertin, Alexandre"
"Pauvreté, pénurie et transition en Russie : de l'économie soviétique à l'économie de marché.","Bertin., Alexandre"
"Pauvreté, pénurie et transition en Russie : de l'économie soviétique à l'économie de marché.","Alexandre, Bertin"
Le théâtre de Voltaire en Russie au XVIIIe siècle,"Négrel, Dominique"
La Russie dans la Première Guerre mondiale : Le témoignage de Pierre Pascal,"Négrel, Dominique"
La Caisse d'émission de Russie du Nord de John Maynard Keynes,"Ponsot, Jean-François"
La Caisse d'émission de Russie du Nord de John Maynard Keynes,"Ponsot, Jean-Francois"
La curiosité des savants français pour la Russie dans la première moitié du XVIIIe siècle,"Chabin, Marie-Anne"
La curiosité des savants français pour la Russie dans la première moitié du XVIIIe siècle,"Marie-Anne, Chabin"
Les influences géographiques dans la formation de la Russie [Premier article],"Haumant, Emile"
Les influences géographiques dans la formation de la Russie [Premier article],"Haumant, Émile (1859-1942)"
Culture française en Russie (1700-1900)...,"Haumant, Emile"
Culture française en Russie (1700-1900)...,"Haumant, Émile (1859-1942)"
L'évolution des grands domaines en Russie de 1861 à 1902,"Sylvain, Bensidoun"
L'évolution des grands domaines en Russie de 1861 à 1902,"Bensidoun, Sylvain"
L'évolution des grands domaines en Russie de 1861 à 1902,"Bensidoun., Sylvain"
La mémoire du stalinisme dans la Russie de Poutine : continuité ou rupture ?,"Amacher, Korine"
La mémoire du stalinisme dans la Russie de Poutine : continuité ou rupture ?,"AMACHER, KORINE"
La mémoire du stalinisme dans la Russie de Poutine : continuité ou rupture ?,"AMACHER, Korine"
Russie - Union européenne : des partenaires contrariés,"Bayou, Céline"
Russie - Union européenne : des partenaires contrariés,"BAYOU, Céline"
Le spectacle en Russie ancienne (1645-1676),"Roberti, Jean-Claude"
Le spectacle en Russie ancienne (1645-1676),"Jean-Claude, Roberti"
Noms et surnoms en Russie (XVe-XVIIe siècles) : perspectives de recherche en onomastique russe,"Schakhovskoy, Dimitri"
"Denis Skopin, La photographie de groupe et la politique de la disparition dans la Russie de Staline","Frierson, Cathy A."
Les traités de Byzance avec la Russie au Xe siècle (II),"Sorlin, Irène"
Michelet et la Russie. Pologne et Russie : un texte de 1851,"Ropert, André"
Une Russie plurielle,"Titaev, Kirill"
Le voyage en Russie soviétique,"Colas, Dominique"
Le voyage en Russie soviétique,"COLAS, Dominique"
La Biélorussie en Europe : Héritage incertain de l'Union soviétique,"Lindner, Rainer"
La mortalité en Russie aux XVIIIe et XIXe siècles : estimations locales à partir des Revizii,"Troitskaja, Irina"
"F.-X. Coquin. Des pères du peuple au père des peuples, la Russie de 1825 à 1929, 1991 ; R. Ladous. De l'Etat russe à l'Etat soviétique, 1825-1941, Sedes, 1990 ; J.-L. Regemorter. D'une perestroïka à l'autre, L'évolution économique de la Russie de 1860 à nos jours, 1990","Jean-Pierre, Poussou"
"F.-X. Coquin. Des pères du peuple au père des peuples, la Russie de 1825 à 1929, 1991 ; R. Ladous. De l'Etat russe à l'Etat soviétique, 1825-1941, Sedes, 1990 ; J.-L. Regemorter. D'une perestroïka à l'autre, L'évolution économique de la Russie de 1860 à nos jours, 1990","Poussou, Jean-Pierre"
Le processus de formation d'une opposition politique et nationale en Biélorussie : le Front populaire biélorussien (1988-1991),"Goujon, Alexandra"
Entre Russie et Asie centrale : regards croisés sur la minorité russe du Kazakhstan,"Peyrouse, Sébastien"
Entre Russie et Asie centrale : regards croisés sur la minorité russe du Kazakhstan,"PEYROUSE, Sébastien"
« À partir de quoi pouvait-on reconstruire ? » Les turbulences de l’écriture de l’histoire dans la Russie post-soviétique,"Favarel-Garrigues, Gilles"
« À partir de quoi pouvait-on reconstruire ? » Les turbulences de l’écriture de l’histoire dans la Russie post-soviétique,"FAVAREL-GARRIGUES, Gilles"
Le crime organisé en Russie : nouvelles approches,"Favarel-Garrigues, Gilles"
Le crime organisé en Russie : nouvelles approches,"FAVAREL-GARRIGUES, Gilles"
Russie an IX,"Nivat, Georges"
Russie an IX,"Georges, Nivat"
Le Sud de la Russie : territoire en tension ou région en développement ?,"Eckert, Denis"
« À partir de quoi pouvait-on reconstruire ? » Les turbulences de l’écriture de l’histoire dans la Russie post-soviétique,"WERTH, Nicolas"
« À partir de quoi pouvait-on reconstruire ? » Les turbulences de l’écriture de l’histoire dans la Russie post-soviétique,"Werth, Nicolas"
« À partir de quoi pouvait-on reconstruire ? » Les turbulences de l’écriture de l’histoire dans la Russie post-soviétique,"Nicolas, Werth"
"Voyage du maréchal duc de Raguse en Hongrie, en Transylvanie, dans la Russie méridionale.... [Volume 3]","Wiesse de Marmont, Auguste-Frédéric-Louis (1774-1852)"
"Voyage du maréchal duc de Raguse en Hongrie, en Transylvanie, dans la Russie méridionale.... [Volume 5]","Wiesse de Marmont, Auguste-Frédéric-Louis (1774-1852)"
La Russie d'Élisabeth vue par des diplomates prussiens (2),"Liechtenhan, Francine-Dominique"
La Russie d'Élisabeth vue par des diplomates prussiens (2),"Liechtenhan, F.-D."
"Lettre de Frédéric R. Coudert à Alexis Carrel, New York, 17 mai 1917, concernant l’arrivée à New York des Commissions française et anglaise, et ses craintes au sujet de la situation en Russie et des sous-marins allemands.","Coudert, Frederic René (1871-1955)"
"Lieven Dominic, La Russie contre Napoléon : la bataille pour l’Europe (1807-1814), Paris, 2012","Lentz, Thierry"
"Lieven Dominic, La Russie contre Napoléon : la bataille pour l’Europe (1807-1814), Paris, 2012","LENTZ, Thierry"
"D. S. Lihacev, A. M. Pancenko, N. V. Ponyrko, Smeh v Drevnej Rusi (Le rire dans la Russie ancienne)","Sergio, Ingerflom Claudio"
"D. S. Lihacev, A. M. Pancenko, N. V. Ponyrko, Smeh v Drevnej Rusi (Le rire dans la Russie ancienne)","Claudio, Ingerflom"
"D. S. Lihacev, A. M. Pancenko, N. V. Ponyrko, Smeh v Drevnej Rusi (Le rire dans la Russie ancienne)","Ingerflom, Claudio"
